year,body,kind,description
-943,Sun,eclipse-annular,"Annular solar eclipse over Giza, -943-03-01"
-939,Neptune,due-east,Neptune rises due east over Giza
-937,Jupiter,due-east,Jupiter rises due east over Giza
-935,Saturn,due-east,Saturn rises due east over Giza
-931,Jupiter,due-east,Jupiter rises due east over Giza
-930,Uranus,due-east,Uranus rises due east over Giza
-925,Jupiter,due-east,Jupiter rises due east over Giza
-920,Saturn,due-east,Saturn rises due east over Giza
-919,Jupiter,due-east,Jupiter rises due east over Giza
-913,Jupiter,due-east,Jupiter rises due east over Giza
-908,Jupiter,due-east,Jupiter rises due east over Giza
-906,Saturn,due-east,Saturn rises due east over Giza
-901,Jupiter,due-east,Jupiter rises due east over Giza
-896,Jupiter,due-east,Jupiter rises due east over Giza
-890,Saturn,due-east,Saturn rises due east over Giza
-889,Jupiter,due-east,Jupiter rises due east over Giza
-888,Uranus,due-east,Uranus rises due east over Giza
-884,Jupiter,due-east,Jupiter rises due east over Giza
-880,Sun,eclipse-annular,"Annular solar eclipse over Giza, -880-04-23"
-877,Jupiter,due-east,Jupiter rises due east over Giza
-876,Saturn,due-east,Saturn rises due east over Giza
-872,Jupiter,due-east,Jupiter rises due east over Giza
-870,Sun,eclipse-annular,"Annular solar eclipse over Giza, -870-09-28"
-866,Jupiter,due-east,Jupiter rises due east over Giza
-861,Saturn,due-east,Saturn rises due east over Giza
-860,Jupiter,due-east,Jupiter rises due east over Giza
-857,Neptune,due-east,Neptune rises due east over Giza
-854,Jupiter,due-east,Jupiter rises due east over Giza
-848,Jupiter,due-east,Jupiter rises due east over Giza
-847,Saturn,due-east,Saturn rises due east over Giza
-846,Uranus,due-east,Uranus rises due east over Giza
-842,Jupiter,due-east,Jupiter rises due east over Giza
-836,Jupiter,due-east,Jupiter rises due east over Giza
-831,Saturn,due-east,Saturn rises due east over Giza
-830,Jupiter,due-east,Jupiter rises due east over Giza
-830,Sun,eclipse-total,"Total solar eclipse over Giza, -830-08-07"
-824,Jupiter,due-east,Jupiter rises due east over Giza
-818,Jupiter,due-east,Jupiter rises due east over Giza
-817,Saturn,due-east,Saturn rises due east over Giza
-813,Jupiter,due-east,Jupiter rises due east over Giza
-806,Jupiter,due-east,Jupiter rises due east over Giza
-806,Sun,eclipse-annular,"Annular solar eclipse over Giza, -806-10-10"
-804,Uranus,due-east,Uranus rises due east over Giza
-802,Saturn,due-east,Saturn rises due east over Giza
-801,Jupiter,due-east,Jupiter rises due east over Giza
-794,Jupiter,due-east,Jupiter rises due east over Giza
-790,Sun,eclipse-annular,"Annular solar eclipse over Giza, -790-06-16"
-789,Jupiter,due-east,Jupiter rises due east over Giza
-788,Saturn,due-east,Saturn rises due east over Giza
-782,Jupiter,due-east,Jupiter rises due east over Giza
-777,Jupiter,due-east,Jupiter rises due east over Giza
-774,Neptune,due-east,Neptune rises due east over Giza
-773,Saturn,due-east,Saturn rises due east over Giza
-771,Jupiter,due-east,Jupiter rises due east over Giza
-765,Jupiter,due-east,Jupiter rises due east over Giza
-762,Uranus,due-east,Uranus rises due east over Giza
