key,name,kind,tier,lat,lon,km,mentions,sources,in,matched_as,unsearchable_forms,uri,first_seen
pl-543787,Messapion (mountain),unlocated|mountain,pin,38.46397,23.48842,57.3,0,0,,,0,https://pleiades.stoa.org/places/543787,
pl-570481,Methana/Anthana?,settlement|settlement-modern,pin,37.37078,22.78352,107.5,0,0,,,1,https://pleiades.stoa.org/places/570481,
pl-570482,Methana/Arsinoe,"cape, promontory, promuntory|settlement",pin,37.59124,23.37409,53.6,0,0,,,2,https://pleiades.stoa.org/places/570482,
pl-570484,Methydrion,ruin|settlement|archaeological site,pin,37.6359,22.1751,141.8,0,0,,,0,https://pleiades.stoa.org/places/570484,
pl-543789,Methylion,unlocated|settlement,pin,39.37525,21.97557,216.9,0,0,,,0,https://pleiades.stoa.org/places/543789,
pl-337294881,Middle Stoa,stoa,pin,37.97458,23.723,1.1,0,0,,,0,https://pleiades.stoa.org/places/337294881,
pl-570485,Midea,wall (defensive)|settlement,pin,37.64981,22.84144,86.2,0,0,,,0,https://pleiades.stoa.org/places/570485,
pl-963101167,Mine of Laureion,mine,pin,37.74076,24.00449,36.4,0,0,,,1,https://pleiades.stoa.org/places/963101167,
pl-963101152,Mine of Laureion,mine,pin,37.74777,24.02798,37.2,0,0,,,1,https://pleiades.stoa.org/places/963101152,
pl-963101139,Mine of Laureion,mine,pin,37.74164,24.02016,37.2,0,0,,,1,https://pleiades.stoa.org/places/963101139,
pl-963101150,Mine of Laureion,mine,pin,37.73761,24.017,37.4,0,0,,,1,https://pleiades.stoa.org/places/963101150,
pl-963101156,Mine of Laureion,mine,pin,37.7295,24.0072,37.5,0,0,,,1,https://pleiades.stoa.org/places/963101156,
pl-963101153,Mine of Laureion,mine,pin,37.74213,24.02563,37.5,0,0,,,1,https://pleiades.stoa.org/places/963101153,
pl-963101165,Mine of Laureion,mine,pin,37.72274,24.00562,37.9,0,0,,,1,https://pleiades.stoa.org/places/963101165,
pl-963101140,Mine of Laureion,mine,pin,37.72634,24.01137,38.0,0,0,,,1,https://pleiades.stoa.org/places/963101140,
pl-963101149,Mine of Laureion,mine,pin,37.73558,24.02736,38.1,0,0,,,1,https://pleiades.stoa.org/places/963101149,
pl-963101143,Mine of Laureion,mine,pin,37.74568,24.04033,38.1,0,0,,,1,https://pleiades.stoa.org/places/963101143,
pl-963101151,Mine of Laureion,mine,pin,37.73029,24.02049,38.2,0,0,,,1,https://pleiades.stoa.org/places/963101151,
pl-963101157,Mine of Laureion,mine,pin,37.7233,24.01576,38.5,0,0,,,1,https://pleiades.stoa.org/places/963101157,
pl-963101168,Mine of Laureion,mine,pin,37.71576,24.00844,38.7,0,0,,,1,https://pleiades.stoa.org/places/963101168,
pl-963101144,Mine of Laureion,mine,pin,37.74828,24.05174,38.7,0,0,,,1,https://pleiades.stoa.org/places/963101144,
pl-963101148,Mine of Laureion,mine,pin,37.73085,24.03401,38.9,0,0,,,1,https://pleiades.stoa.org/places/963101148,
pl-963101166,Mine of Laureion,mine,pin,37.72465,24.02601,39.0,0,0,,,1,https://pleiades.stoa.org/places/963101166,
pl-963101145,Mine of Laureion,mine,pin,37.7498,24.05902,39.0,0,0,,,1,https://pleiades.stoa.org/places/963101145,
pl-963101154,Mine of Laureion,mine,pin,37.74422,24.05427,39.1,0,0,,,1,https://pleiades.stoa.org/places/963101154,
pl-963101141,Mine of Laureion,mine,pin,37.72578,24.03116,39.2,0,0,,,1,https://pleiades.stoa.org/places/963101141,
pl-963101161,Mine of Laureion,mine,pin,37.71705,24.0206,39.3,0,0,,,1,https://pleiades.stoa.org/places/963101161,
pl-963101162,Mine of Laureion,mine,pin,37.72156,24.03051,39.5,0,0,,,1,https://pleiades.stoa.org/places/963101162,
pl-963101138,Mine of Laureion,mine,pin,37.73636,24.05017,39.5,0,0,,,1,https://pleiades.stoa.org/places/963101138,
pl-963101146,Mine of Laureion,mine,pin,37.74359,24.06054,39.6,0,0,,,1,https://pleiades.stoa.org/places/963101146,
pl-963101142,Mine of Laureion,mine,pin,37.71184,24.02093,39.7,0,0,,,1,https://pleiades.stoa.org/places/963101142,
pl-963101155,Mine of Laureion,mine,pin,37.73603,24.05281,39.7,0,0,,,1,https://pleiades.stoa.org/places/963101155,
pl-963101176,Mine of Laureion,mine,pin,37.70387,24.01013,39.8,0,0,,,1,https://pleiades.stoa.org/places/963101176,
pl-963101147,Mine of Laureion,mine,pin,37.74935,24.06941,39.8,0,0,,,1,https://pleiades.stoa.org/places/963101147,
pl-963101175,Mine of Laureion,mine,pin,37.713,24.02533,39.9,0,0,,,1,https://pleiades.stoa.org/places/963101175,
pl-963101164,Mine of Laureion,mine,pin,37.71626,24.03141,40.0,0,0,,,1,https://pleiades.stoa.org/places/963101164,
pl-963101173,Mine of Laureion,mine,pin,37.7041,24.01643,40.1,0,0,,,1,https://pleiades.stoa.org/places/963101173,
pl-963101158,Mine of Laureion,mine,pin,37.70604,24.01984,40.2,0,0,,,1,https://pleiades.stoa.org/places/963101158,
pl-963101172,Mine of Laureion,mine,pin,37.69847,24.01035,40.3,0,0,,,1,https://pleiades.stoa.org/places/963101172,
pl-963101174,Mine of Laureion,mine,pin,37.7059,24.02533,40.5,0,0,,,1,https://pleiades.stoa.org/places/963101174,
pl-963101159,Mine of Laureion,mine,pin,37.71131,24.03524,40.6,0,0,,,1,https://pleiades.stoa.org/places/963101159,
pl-963101163,Mine of Laureion,mine,pin,37.71694,24.0438,40.6,0,0,,,1,https://pleiades.stoa.org/places/963101163,
pl-963101169,Mine of Laureion,mine,pin,37.69723,24.017,40.8,0,0,,,1,https://pleiades.stoa.org/places/963101169,
pl-583623,Mine of Laureion,mine,pin,37.71225,24.03989,40.8,0,0,,,1,https://pleiades.stoa.org/places/583623,
pl-963101170,Mine of Laureion,mine,pin,37.6934,24.01283,40.9,0,0,,,1,https://pleiades.stoa.org/places/963101170,
pl-963101171,Mine of Laureion,mine,pin,37.70725,24.03716,41.0,0,0,,,1,https://pleiades.stoa.org/places/963101171,
pl-963101160,Mine of Laureion,mine,pin,37.71164,24.04459,41.1,0,0,,,1,https://pleiades.stoa.org/places/963101160,
pl-963101137,Mine of Laureion,mine,pin,37.69756,24.03268,41.6,0,0,,,1,https://pleiades.stoa.org/places/963101137,
pl-963101039,Mine on Euboea,quarry,pin,38.05901,24.32478,53.0,0,0,,,1,https://pleiades.stoa.org/places/963101039,
pl-963101040,Mine on Euboea,quarry,pin,38.07256,24.33219,53.9,0,0,,,1,https://pleiades.stoa.org/places/963101040,
pl-963101038,Mine on Euboea,quarry,pin,38.0146,24.46203,64.5,0,0,,,1,https://pleiades.stoa.org/places/963101038,
pl-963101037,Mine on Euboea,quarry,pin,38.00774,24.47996,66.0,0,0,,,1,https://pleiades.stoa.org/places/963101037,
pl-638269272,Mine on Euboea,mine,pin,38.01279,24.48074,66.1,0,0,,,1,https://pleiades.stoa.org/places/638269272,
pl-570486,Minoa (island),island,pin,37.9698,23.36223,32.1,0,0,,,0,https://pleiades.stoa.org/places/570486,
pl-570487,Minoa (promontory),"peninsula|cape, promontory, promuntory|island",pin,36.68791,23.04974,156.1,0,0,,,1,https://pleiades.stoa.org/places/570487,
pl-645204824,Mitrou,settlement,pin,38.63667,23.12451,89.7,0,0,,,0,https://pleiades.stoa.org/places/645204824,
pl-775947099,Monachou/Palio Chorio,settlement (fortified)|ruin,pin,38.55743,23.15316,81.1,0,0,,,0,https://pleiades.stoa.org/places/775947099,
pl-838574332,Monastery of Agnountos,monastery,pin,37.71059,23.13176,60.5,0,0,,,0,https://pleiades.stoa.org/places/838574332,
pl-109466300,Monemvasia,wall (defensive)|settlement|archaeological site,pin,36.68841,23.05233,155.9,0,0,,,1,https://pleiades.stoa.org/places/109466300,
pl-87615187,Monopteros,shrine,pin,37.97548,23.72388,1.0,0,0,,,0,https://pleiades.stoa.org/places/87615187,
pl-573299846,Monument of Eumenes II/Agrippa,monument,pin,37.97178,23.72484,1.4,0,0,,,0,https://pleiades.stoa.org/places/573299846,
pl-920967112,Monument of Kallimachos,monument,pin,37.97184,23.72697,1.3,0,0,,,0,https://pleiades.stoa.org/places/920967112,
pl-660025690,Monument of the Eponymous Heroes,monument,pin,37.97507,23.72239,1.1,0,0,,,0,https://pleiades.stoa.org/places/660025690,
pl-580029,Mounichia Limen,harbor|port,pin,37.93722,23.66036,7.8,0,0,,,0,https://pleiades.stoa.org/places/580029,
pl-968858713,Mouseion Hill,hill,pin,37.96756,23.72212,1.9,0,0,,,0,https://pleiades.stoa.org/places/968858713,
pl-540952,Myania,settlement,pin,38.47804,22.35774,131.7,0,0,,,0,https://pleiades.stoa.org/places/540952,
pl-515156430,Mycenaean Fountain,fountain|well,pin,37.97217,23.72583,1.3,0,0,,,0,https://pleiades.stoa.org/places/515156430,
pl-720628459,Mycenaean cemetery at Aidonia,"catacomb, cemetery, necropolis",pin,37.84022,22.58318,101.7,0,0,,,0,https://pleiades.stoa.org/places/720628459,
pl-909179853,"Mycenaean necropolis, Elateia","catacomb, cemetery, necropolis",pin,38.64749,22.77217,111.3,0,0,,,0,https://pleiades.stoa.org/places/909179853,
pl-291344339,Mygdaleza basilica,church,pin,38.1337,23.88816,21.8,0,0,,,0,https://pleiades.stoa.org/places/291344339,
pl-540953,Mykalessos,settlement,pin,38.41672,23.5196,51.5,0,0,,,0,https://pleiades.stoa.org/places/540953,
pl-599808,Mykonos (island),island,pin,37.45307,25.37232,156.2,0,0,,,1,https://pleiades.stoa.org/places/599808,
pl-599807,Mykonos (settlement),settlement,pin,37.44596,25.32862,153.0,0,0,,,1,https://pleiades.stoa.org/places/599807,
pl-570492,Mylaon? (river),"river, drainage",wash,37.75,22.25,132.3,0,0,,,0,https://pleiades.stoa.org/places/570492,
pl-540955,Myonessos (island),island,pin,38.92593,22.94366,125.0,0,0,,,0,https://pleiades.stoa.org/places/540955,
pl-580030,Myrrinous,settlement|deme (Athenian),pin,37.87281,23.96789,24.4,0,0,,,0,https://pleiades.stoa.org/places/580030,
pl-580031,Myrrinoutta,settlement|deme (Athenian),pin,38.08317,23.97903,24.6,0,0,,,0,https://pleiades.stoa.org/places/580031,
pl-599814,Myrsineai,settlement,pin,37.04847,25.12734,161.4,0,0,,,0,https://pleiades.stoa.org/places/599814,
pl-570495,Myrtoion Mare,"water, open",pin,37.0,24.0,112.0,0,0,,,0,https://pleiades.stoa.org/places/570495,
pl-570496,Myrtos (island),island|map label location,pin,37.93669,24.52191,69.8,0,0,,,0,https://pleiades.stoa.org/places/570496,
pl-410249370,Mystras,settlement|archaeological site,pin,37.07258,22.3681,157.0,0,0,,,0,https://pleiades.stoa.org/places/410249370,
pl-540957,Narthakion,settlement,pin,38.95064,22.50883,151.0,0,0,,,0,https://pleiades.stoa.org/places/540957,
pl-540958,Naryka/Tarphe?,settlement,pin,38.71705,22.72822,119.3,0,0,,,0,https://pleiades.stoa.org/places/540958,
pl-570501,Nauplia,harbor|settlement,pin,37.56812,22.80871,93.0,0,0,,,0,https://pleiades.stoa.org/places/570501,
pl-599820,Naxiakos? Sinus,"water, open",wash,36.75,25.25,192.2,0,0,,,0,https://pleiades.stoa.org/places/599820,
pl-599822,Naxos (island),island,pin,37.05819,25.48193,185.8,0,0,,,1,https://pleiades.stoa.org/places/599822,
pl-599821,Naxos (settlement),settlement,pin,37.10387,25.37759,175.3,0,0,,,1,https://pleiades.stoa.org/places/599821,
pl-570502,Neda (river),"river, drainage",pin,37.41175,21.95619,168.3,0,0,,,4,https://pleiades.stoa.org/places/570502,
pl-570503,Nedon (river),"river, drainage",wash,37.25,22.25,153.6,0,0,,,0,https://pleiades.stoa.org/places/570503,
