key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-491740,Therme,settlement,pin,40.58155,22.94402,-750,-330,0,65.8,https://pleiades.stoa.org/places/491740,
pl-762595495,Theater at Philippi,theatre,pin,41.01305,24.28670,-550,300,0,65.9,https://pleiades.stoa.org/places/762595495,
pl-501566,Territory of the Pieres,"label, people",pin,40.84006,24.26202,-750,-550,0,66.3,https://pleiades.stoa.org/places/501566,
pl-491567,Debrene,settlement,pin,41.58832,23.34051,-30,300,0,66.7,https://pleiades.stoa.org/places/491567,
pl-491628,Kalokhori,cemetery,pin,40.64167,22.85876,-30,300,0,66.8,https://pleiades.stoa.org/places/491628,
pl-491521,Anthemous,settlement,pin,40.41772,23.28433,-550,300,0,67.1,https://pleiades.stoa.org/places/491521,
pl-997707343,Dikili Tash,settlement,pin,41.01042,24.30877,1700,2100,0,67.8,https://pleiades.stoa.org/places/997707343,
pl-491717,Sindos,"settlement, archaeological-site",pin,40.70028,22.79306,-750,300,0,67.9,https://pleiades.stoa.org/places/491717,
pl-952959148,Stele of Caius Vibius Quartus,monument,pin,41.01214,24.31119,-30,300,0,68.0,https://pleiades.stoa.org/places/952959148,
pl-501324,Ablanica Rodopi,settlement,pin,41.57523,23.77816,-330,640,0,68.0,https://pleiades.stoa.org/places/501324,
pl-501490,Kyria,settlement,pin,41.10547,24.30012,-30,640,0,68.0,https://pleiades.stoa.org/places/501490,
pl-491560,Chalastra,settlement,pin,40.70422,22.78117,-750,300,0,68.6,https://pleiades.stoa.org/places/491560,
pl-491688,Pella,unknown,wash,40.75000,22.75000,-330,-30,0,68.7,https://pleiades.stoa.org/places/491688,
pl-501326,Ad Duodecimum,station,wash,41.25000,24.25000,-30,640,0,68.7,https://pleiades.stoa.org/places/501326,
pl-502077,Untitled,aqueduct,wash,41.25000,24.25000,-30,640,0,68.7,https://pleiades.stoa.org/places/502077,
pl-502078,Untitled,aqueduct,wash,41.25000,24.25000,-30,640,0,68.7,https://pleiades.stoa.org/places/502078,
pl-502839,Untitled,bridge,wash,40.75000,24.25000,-30,640,0,68.7,https://pleiades.stoa.org/places/502839,
pl-504345,Untitled,mine,wash,41.25000,24.25000,-550,300,0,68.7,https://pleiades.stoa.org/places/504345,
pl-504346,Untitled,quarry,wash,40.75000,24.25000,-550,300,0,68.7,https://pleiades.stoa.org/places/504346,
pl-491509,Ad Decimum,station,pin,40.69080,22.78539,-30,640,0,69.0,https://pleiades.stoa.org/places/491509,
pl-501564,Philippoi,settlement,pin,41.02518,24.33451,-30,300,0,70.0,https://pleiades.stoa.org/places/501564,
pl-501656,Vălkosel,settlement,pin,41.51552,23.98377,-330,640,0,70.1,https://pleiades.stoa.org/places/501656,
pl-501533,Oisyme,"settlement, acropolis",pin,40.82126,24.30490,-750,300,0,70.3,https://pleiades.stoa.org/places/501533,
pl-491520,Amphax(it)is,"region, label",pin,40.92205,22.66444,-550,300,0,70.5,https://pleiades.stoa.org/places/491520,
pl-501525,Nicopolis ad Nestum/Ulpia Nicopolis,settlement,pin,41.59620,23.79580,-30,1453,0,70.7,https://pleiades.stoa.org/places/501525,
pl-494582,Kissynioi,"unlocated, people",wash,40.92983,22.65863,-30,300,0,70.9,https://pleiades.stoa.org/places/494582,
pl-501405,Drosike?,label,pin,41.44590,24.10705,-30,300,0,71.0,https://pleiades.stoa.org/places/501405,
pl-491674,Novi Dojran,settlement,pin,41.23246,22.70709,-30,640,0,71.3,https://pleiades.stoa.org/places/491674,
pl-501627,Stolos,settlement,pin,40.36915,23.66484,-550,-330,0,71.4,https://pleiades.stoa.org/places/501627,
pl-491672,*Neine,settlement,pin,41.61317,23.22858,-30,300,0,71.8,https://pleiades.stoa.org/places/491672,
pl-501417,Fons Co(...),station,pin,40.95762,24.35664,300,640,0,71.9,https://pleiades.stoa.org/places/501417,
pl-501387,Ciropolis,fort,pin,41.62887,23.73020,-30,640,0,72.4,https://pleiades.stoa.org/places/501387,
pl-491734,Sušica,villa,pin,41.43871,22.84955,-30,300,0,73.1,https://pleiades.stoa.org/places/491734,
pl-501451,Kalpapouritai,"label, people",pin,40.97898,24.37196,-30,300,0,73.1,https://pleiades.stoa.org/places/501451,
pl-501395,Debren,settlement,pin,41.60614,23.85092,300,640,0,73.4,https://pleiades.stoa.org/places/501395,
pl-494628,Trapezous,unlocated,wash,40.36915,23.23501,-550,-30,0,73.5,https://pleiades.stoa.org/places/494628,
pl-491554,Bottike,"region, label",pin,40.36902,23.22044,-550,-330,0,73.9,https://pleiades.stoa.org/places/491554,
pl-501552,Panormos (Chalkidiki),"settlement, settlement-modern",pin,40.39791,23.87762,-550,2099,0,73.9,https://pleiades.stoa.org/places/501552,
pl-501524,Nestos (river),river,pin,41.43257,24.17366,-550,2100,0,74.1,https://pleiades.stoa.org/places/501524,
pl-501351,Antisara,settlement,pin,40.92411,24.38128,-750,-330,0,74.3,https://pleiades.stoa.org/places/501351,
pl-455250148,Kastanas,settlement,pin,40.81791,22.64689,-3000,-30,0,74.3,https://pleiades.stoa.org/places/455250148,
pl-501619,*Skabla,settlement,pin,40.33259,23.59055,-550,-330,0,74.5,https://pleiades.stoa.org/places/501619,
pl-501339,Akanthos,"settlement, archaeological-site",pin,40.39336,23.88668,-750,2099,0,74.7,https://pleiades.stoa.org/places/501339,
pl-501424,Gospodinci,settlement,pin,41.65078,23.72597,-30,640,0,74.7,https://pleiades.stoa.org/places/501424,
pl-501363,Ass(er)a?,settlement,pin,40.36929,23.83052,-550,300,0,75.3,https://pleiades.stoa.org/places/501363,
pl-491621,Ilovica,mine,pin,41.45427,22.83027,-30,640,0,75.4,https://pleiades.stoa.org/places/491621,
pl-501567,Piloros,settlement,pin,40.34222,23.72471,-550,-330,0,75.4,https://pleiades.stoa.org/places/501567,
pl-491570,Dikaia,settlement,pin,40.46049,22.94712,-750,-330,0,75.7,https://pleiades.stoa.org/places/491570,
pl-491600,Gephyra,station,pin,40.72473,22.67187,-30,640,0,75.8,https://pleiades.stoa.org/places/491600,
pl-491573,Doberos,settlement,pin,41.38799,22.75324,-550,640,0,75.9,https://pleiades.stoa.org/places/491573,
pl-491637,Kithas,settlement,pin,40.39671,23.05591,-550,-330,0,76.6,https://pleiades.stoa.org/places/491637,
